time_ns,dec_i_data,dec_o_valid,dec_o_data,int_i_data,interp_o_valid,interp_o_data
45.0,128,0,0,128,0,0
55.0,128,0,0,128,0,0
65.0,128,0,0,128,1,0
75.0,128,0,0,128,1,0
85.0,129,0,0,128,1,0
95.0,129,0,0,128,1,0
105.0,130,0,0,128,1,0
115.0,130,0,0,128,1,0
125.0,130,0,0,128,1,0
135.0,131,0,0,128,1,0
145.0,131,0,0,128,1,0
155.0,132,0,0,128,1,0
165.0,132,0,0,128,1,0
175.0,132,0,0,128,1,0
185.0,133,0,0,128,1,0
195.0,133,0,0,128,1,0
205.0,134,0,0,128,1,0
215.0,134,0,0,128,1,0
225.0,134,0,0,128,1,0
235.0,135,0,0,128,1,0
245.0,135,0,0,128,1,0
255.0,136,0,0,128,1,0
265.0,136,0,0,128,1,0
275.0,136,0,0,128,1,0
285.0,137,0,0,128,1,0
295.0,137,0,0,128,1,0
305.0,138,0,0,128,1,0
315.0,138,0,0,128,1,0
325.0,138,0,0,128,1,0
335.0,139,0,0,128,1,0
345.0,139,0,0,128,1,0
355.0,140,0,0,128,1,0
365.0,140,0,0,128,1,0
375.0,140,0,0,128,1,0
385.0,141,0,0,128,1,0
395.0,141,0,0,128,1,0
405.0,142,0,0,128,1,0
415.0,142,0,0,128,1,0
425.0,142,0,0,128,1,0
435.0,143,0,0,128,1,0
445.0,143,0,0,128,1,0
455.0,144,0,0,128,1,0
465.0,144,0,0,128,1,0
475.0,144,0,0,128,1,0
485.0,145,0,0,128,1,0
495.0,145,0,0,128,1,0
505.0,145,0,0,128,1,0
515.0,146,0,0,128,1,0
525.0,146,0,0,128,1,0
535.0,147,0,0,128,1,0
545.0,147,0,0,128,1,0
555.0,147,0,0,128,1,0
565.0,148,0,0,128,1,0
575.0,148,0,0,128,1,0
585.0,149,0,0,128,1,0
595.0,149,0,0,128,1,0
605.0,149,0,0,128,1,0
615.0,150,0,0,128,1,0
625.0,150,0,0,128,1,0
635.0,151,0,0,128,1,0
645.0,151,0,0,128,1,0
655.0,151,0,0,128,1,0
665.0,152,0,0,128,1,0
675.0,152,0,0,128,1,0
685.0,153,0,0,128,1,0
695.0,153,1,5983,128,1,8
705.0,153,0,5983,153,1,24
715.0,154,0,5983,153,1,48
725.0,154,0,5983,153,1,80
735.0,155,0,5983,153,1,120
745.0,155,0,5983,153,1,168
755.0,155,0,5983,153,1,224
765.0,156,0,5983,153,1,288
775.0,156,0,5983,153,1,360
785.0,156,0,5983,153,1,440
795.0,157,0,5983,153,1,528
805.0,157,0,5983,153,1,624
815.0,158,0,5983,153,1,728
825.0,158,0,5983,153,1,840
835.0,158,0,5983,153,1,960
845.0,159,0,5983,153,1,1088
855.0,159,0,5983,153,1,1224
865.0,160,0,5983,153,1,1368
875.0,160,0,5983,153,1,1520
885.0,160,0,5983,153,1,1680
895.0,161,0,5983,153,1,1848
905.0,161,0,5983,153,1,2024
915.0,162,0,5983,153,1,2208
925.0,162,0,5983,153,1,2400
935.0,162,0,5983,153,1,2600
945.0,163,0,5983,153,1,2808
955.0,163,0,5983,153,1,3024
965.0,163,0,5983,153,1,3248
975.0,164,0,5983,153,1,3480
985.0,164,0,5983,153,1,3720
995.0,165,0,5983,153,1,3968
1005.0,165,0,5983,153,1,4224
1015.0,165,0,5983,153,1,4488
1025.0,166,0,5983,153,1,4760
1035.0,166,0,5983,153,1,5040
1045.0,166,0,5983,153,1,5328
1055.0,167,0,5983,153,1,5624
1065.0,167,0,5983,153,1,5928
1075.0,168,0,5983,153,1,6240
1085.0,168,0,5983,153,1,6560
1095.0,168,0,5983,153,1,6888
1105.0,169,0,5983,153,1,7224
1115.0,169,0,5983,153,1,7568
1125.0,170,0,5983,153,1,7920
1135.0,170,0,5983,153,1,8280
1145.0,170,0,5983,153,1,8648
1155.0,171,0,5983,153,1,9024
1165.0,171,0,5983,153,1,9408
1175.0,171,0,5983,153,1,9800
1185.0,172,0,5983,153,1,10200
1195.0,172,0,5983,153,1,10608
1205.0,173,0,5983,153,1,11024
1215.0,173,0,5983,153,1,11448
1225.0,173,0,5983,153,1,11880
1235.0,174,0,5983,153,1,12320
1245.0,174,0,5983,153,1,12768
1255.0,174,0,5983,153,1,13224
1265.0,175,0,5983,153,1,13688
1275.0,175,0,5983,153,1,14160
1285.0,175,0,5983,153,1,14640
1295.0,176,0,5983,153,1,15128
1305.0,176,0,5983,153,1,15624
1315.0,177,0,5983,153,1,16128
1325.0,177,0,5983,153,1,16640
1335.0,177,1,31037,153,1,17145
1345.0,178,0,31037,178,1,17644
1355.0,178,0,31037,178,1,18137
1365.0,178,0,31037,178,1,18623
1375.0,179,0,31037,178,1,19103
1385.0,179,0,31037,178,1,19576
1395.0,180,0,31037,178,1,20043
1405.0,180,0,31037,178,1,20504
1415.0,180,0,31037,178,1,20958
1425.0,181,0,31037,178,1,21405
1435.0,181,0,31037,178,1,21847
1445.0,181,0,31037,178,1,22281
1455.0,182,0,31037,178,1,22710
1465.0,182,0,31037,178,1,23132
1475.0,182,0,31037,178,1,23547
1485.0,183,0,31037,178,1,23956
1495.0,183,0,31037,178,1,24359
1505.0,184,0,31037,178,1,24755
1515.0,184,0,31037,178,1,25144
1525.0,184,0,31037,178,1,25528
1535.0,185,0,31037,178,1,25904
1545.0,185,0,31037,178,1,26275
1555.0,185,0,31037,178,1,26639
1565.0,186,0,31037,178,1,26996
1575.0,186,0,31037,178,1,27347
1585.0,186,0,31037,178,1,27692
1595.0,187,0,31037,178,1,28030
1605.0,187,0,31037,178,1,28362
1615.0,187,0,31037,178,1,28687
1625.0,188,0,31037,178,1,29006
1635.0,188,0,31037,178,1,29319
1645.0,188,0,31037,178,1,29625
1655.0,189,0,31037,178,1,29924
1665.0,189,0,31037,178,1,30217
1675.0,190,0,31037,178,1,30504
1685.0,190,0,31037,178,1,30784
1695.0,190,0,31037,178,1,31058
1705.0,191,0,31037,178,1,31325
1715.0,191,0,31037,178,1,31586
1725.0,191,0,31037,178,1,31841
1735.0,192,0,31037,178,1,32089
1745.0,192,0,31037,178,1,32330
1755.0,192,0,31037,178,1,32566
1765.0,193,0,31037,178,1,32794
1775.0,193,0,31037,178,1,33017
1785.0,193,0,31037,178,1,33233
1795.0,194,0,31037,178,1,33442
1805.0,194,0,31037,178,1,33645
1815.0,194,0,31037,178,1,33842
1825.0,195,0,31037,178,1,34032
1835.0,195,0,31037,178,1,34215
1845.0,195,0,31037,178,1,34393
1855.0,196,0,31037,178,1,34563
1865.0,196,0,31037,178,1,34728
1875.0,196,0,31037,178,1,34886
1885.0,197,0,31037,178,1,35037
1895.0,197,0,31037,178,1,35182
1905.0,197,0,31037,178,1,35321
1915.0,198,0,31037,178,1,35453
1925.0,198,0,31037,178,1,35579
1935.0,198,0,31037,178,1,35698
1945.0,199,0,31037,178,1,35811
1955.0,199,0,31037,178,1,35918
1965.0,199,0,31037,178,1,36018
1975.0,200,1,42328,178,1,36118
1985.0,200,0,42328,200,1,36218
1995.0,200,0,42328,200,1,36318
2005.0,201,0,42328,200,1,36418
2015.0,201,0,42328,200,1,36518
2025.0,201,0,42328,200,1,36618
2035.0,202,0,42328,200,1,36718
2045.0,202,0,42328,200,1,36818
2055.0,202,0,42328,200,1,36918
2065.0,203,0,42328,200,1,37018
2075.0,203,0,42328,200,1,37118
2085.0,203,0,42328,200,1,37218
2095.0,204,0,42328,200,1,37318
2105.0,204,0,42328,200,1,37418
2115.0,204,0,42328,200,1,37518
2125.0,205,0,42328,200,1,37618
2135.0,205,0,42328,200,1,37718
2145.0,205,0,42328,200,1,37818
2155.0,206,0,42328,200,1,37918
2165.0,206,0,42328,200,1,38018
2175.0,206,0,42328,200,1,38118
2185.0,206,0,42328,200,1,38218
2195.0,207,0,42328,200,1,38318
2205.0,207,0,42328,200,1,38418
2215.0,207,0,42328,200,1,38518
2225.0,208,0,42328,200,1,38618
2235.0,208,0,42328,200,1,38718
2245.0,208,0,42328,200,1,38818
2255.0,209,0,42328,200,1,38918
2265.0,209,0,42328,200,1,39018
2275.0,209,0,42328,200,1,39118
2285.0,210,0,42328,200,1,39218
2295.0,210,0,42328,200,1,39318
2305.0,210,0,42328,200,1,39418
2315.0,210,0,42328,200,1,39518
2325.0,211,0,42328,200,1,39618
2335.0,211,0,42328,200,1,39718
2345.0,211,0,42328,200,1,39818
2355.0,212,0,42328,200,1,39918
2365.0,212,0,42328,200,1,40018
2375.0,212,0,42328,200,1,40118
2385.0,213,0,42328,200,1,40218
2395.0,213,0,42328,200,1,40318
2405.0,213,0,42328,200,1,40418
2415.0,213,0,42328,200,1,40518
2425.0,214,0,42328,200,1,40618
2435.0,214,0,42328,200,1,40718
2445.0,214,0,42328,200,1,40818
2455.0,215,0,42328,200,1,40918
2465.0,215,0,42328,200,1,41018
2475.0,215,0,42328,200,1,41118
2485.0,216,0,42328,200,1,41218
2495.0,216,0,42328,200,1,41318
2505.0,216,0,42328,200,1,41418
2515.0,216,0,42328,200,1,41518
2525.0,217,0,42328,200,1,41618
2535.0,217,0,42328,200,1,41718
2545.0,217,0,42328,200,1,41818
2555.0,218,0,42328,200,1,41918
2565.0,218,0,42328,200,1,42018
2575.0,218,0,42328,200,1,42118
2585.0,218,0,42328,200,1,42218
2595.0,219,0,42328,200,1,42318
2605.0,219,0,42328,200,1,42418
2615.0,219,1,48307,200,1,42517
2625.0,219,0,48307,219,1,42617
2635.0,220,0,48307,219,1,42716
2645.0,220,0,48307,219,1,42816
2655.0,220,0,48307,219,1,42915
2665.0,221,0,48307,219,1,43014
2675.0,221,0,48307,219,1,43112
2685.0,221,0,48307,219,1,43211
2695.0,221,0,48307,219,1,43309
2705.0,222,0,48307,219,1,43407
2715.0,222,0,48307,219,1,43505
2725.0,222,0,48307,219,1,43603
2735.0,222,0,48307,219,1,43700
2745.0,223,0,48307,219,1,43798
2755.0,223,0,48307,219,1,43895
2765.0,223,0,48307,219,1,43992
2775.0,224,0,48307,219,1,44089
2785.0,224,0,48307,219,1,44185
